"","KD_index","kpr_index","DC50","DMAX","DC50_pred","DMAX_pred"
"1",407,203,1487,0.64,1367.72882559585,0.50738
"2",286,210,36.9,0.85,37.3250157795721,0.77067
"3",291,230,21.8,0.84,21.9785987278483,0.87989
"4",291,290,4.5,0.87,4.53941616650203,0.97973
"5",288,277,5.9,0.85,5.84790084144481,0.97301
"6",280,339,1.1,0.87,1.09647819614319,0.99367
"7",315,282,9.7,0.85,9.61612278383665,0.97399
"9",286,175,398.5,0.68,369.828179780266,0.50146
"10",291,176,469.9,0.63,354.813389233575,0.50307
"11",291,192,90.5,0.75,89.3305483733295,0.6294
"12",288,179,217.7,0.71,206.538015581053,0.53012
"13",280,206,37.4,0.8,37.4973002245484,0.74869
"14",315,190,184.1,0.7,181.13400926196,0.59014
